date,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
1/12/2009,1,1,1,0,2,2,3,0,1,1,1,0,0,0,1,0,0,2,0,0,0,1,1,1,0,2,1,1,0,1,0,0,1,1,1,0,1,1,1
1/13/2009,0,0,3,0,0,2,0,1,1,1,2,0,1,1,0,1,0,1,0,0,2,1,1,1,1,0,1,0,0,1,2,0,1,1,0,2,1,0,1
1/14/2009,0,2,1,1,1,0,0,2,1,0,2,0,0,1,1,0,0,2,0,0,1,1,0,0,0,3,1,0,1,3,0,1,1,0,0,1,2,1,0
1/15/2009,0,0,0,0,0,2,0,1,0,1,1,2,0,1,1,0,0,1,0,2,0,0,0,1,1,0,0,2,1,0,1,1,3,1,2,3,0,1,1
1/16/2009,2,0,0,0,2,1,1,1,1,2,1,0,1,2,1,1,0,1,0,1,0,0,0,2,1,0,0,0,2,1,1,0,1,1,0,0,1,2,0
1/17/2009,1,0,1,1,1,0,1,1,1,0,2,1,1,1,1,1,0,0,0,3,0,0,0,2,1,1,1,0,1,3,0,1,0,0,2,0,1,0,0
1/18/2009,1,2,1,2,2,0,0,1,1,0,1,2,0,0,1,2,1,0,0,1,0,1,1,0,0,0,2,0,0,2,0,0,1,2,1,0,0,1,1
1/19/2009,1,4,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,0,1,1,2,0,0,1,2,0,0,3,1,1,0,2,0,0,2
1/20/2009,0,2,0,0,0,0,3,1,1,0,1,1,0,0,0,1,0,2,0,2,1,2,2,1,2,0,1,0,0,1,1,1,1,0,2,1,0,0,0
1/21/2009,0,1,0,1,3,1,1,0,1,3,1,1,0,0,1,0,1,0,0,0,1,0,2,1,0,1,0,0,4,1,0,0,1,1,1,0,0,1,1
1/22/2009,0,0,1,2,1,1,2,0,3,1,3,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,2,1,2,0,1,1,0,0,1
1/23/2009,0,0,0,2,0,2,2,0,1,0,0,0,1,0,0,0,3,0,1,1,1,0,2,1,1,1,1,2,1,2,0,2,0,1,1,0,1,0,0
1/24/2009,0,0,1,0,0,1,1,2,1,2,0,1,2,1,2,0,0,0,0,2,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,2,1
1/25/2009,1,1,0,0,2,1,1,1,2,0,0,0,1,1,2,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,3,1,1,0,1,1
1/26/2009,0,1,3,0,2,0,0,0,1,2,1,0,0,1,0,1,0,0,0,1,1,0,1,2,1,0,0,1,0,0,1,1,0,1,1,1,2,3,1
1/27/2009,0,0,0,0,0,1,2,2,1,0,0,2,1,0,0,1,2,2,0,2,0,0,1,0,0,0,1,1,1,1,2,1,0,3,0,0,1,0,2
1/28/2009,1,0,2,2,1,1,0,0,2,0,0,0,1,0,2,0,2,2,0,0,0,1,0,0,2,5,1,1,0,0,0,1,0,1,1,0,0,0,1
1/29/2009,1,1,3,2,1,0,1,1,1,2,0,0,2,0,0,2,1,0,1,0,0,1,0,0,0,1,2,1,0,3,1,1,1,0,0,0,0,0,0
1/30/2009,1,0,0,0,2,1,2,1,0,0,0,0,1,1,2,0,2,2,0,0,1,0,1,1,1,0,0,0,1,0,2,1,1,2,1,0,0,2,1
1/31/2009,1,3,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0,3,2,1,0,0,0,3,1,0,1,0,2,0
2/1/2009,1,0,1,0,0,0,1,0,2,1,2,0,1,0,1,2,1,0,0,0,1,1,0,1,0,0,1,3,0,2,1,0,2,2,0,0,2,0,1
2/2/2009,0,0,1,2,3,0,1,0,2,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,2,0,2,3,0,1,1,2,1,0,1,1,0,1,0
2/3/2009,0,1,3,0,1,1,1,1,1,1,2,1,0,0,1,1,0,1,0,2,0,1,1,2,0,2,1,0,0,0,0,0,0,2,1,2,0,0,0
